[I 2024-02-01 21:05:55,896] A new study created in memory with name: no-name-49008c61-4801-4b2b-b2a7-4be29e17d8ac
[I 2024-02-01 21:44:22,044] Trial 0 finished with value: -0.497872 and parameters: {'learning_rate': 0.004378044984230146, 'max_depth': 3, 'min_child_weight': 3, 'gamma': 1.661648218180377e-05, 'lambda': 0.008224345742223837, 'alpha': 0.480380529361804}. Best is trial 0 with value: -0.497872.
[I 2024-02-02 00:57:12,383] Trial 11 finished with value: -0.661018 and parameters: {'learning_rate': 0.780699458233941, 'max_depth': 6, 'min_child_weight': 6, 'gamma': 2.2060709926091362e-05, 'lambda': 9.139822946273636e-07, 'alpha': 8.063676236426462e-05}. Best is trial 10 with value: -0.665.
[I 2024-02-02 01:34:44,466] Trial 12 finished with value: -0.66536 and parameters: {'learning_rate': 0.6424285583598841, 'max_depth': 6, 'min_child_weight': 7, 'gamma': 3.7869771692711657e-06, 'lambda': 3.0342436282457206e-07, 'alpha': 0.00011235893409439767}. Best is trial 12 with value: -0.66536.
[I 2024-02-02 02:00:38,555] Trial 13 finished with value: -0.662089 and parameters: {'learning_rate': 0.6955557400398814, 'max_depth': 6, 'min_child_weight': 7, 'gamma': 1.2788235447776586e-06, 'lambda': 3.402536363607354e-08, 'alpha': 8.741877596085794e-05}. Best is trial 12 with value: -0.66536.
[I 2024-02-02 02:40:40,853] Trial 14 finished with value: -0.628828 and parameters: {'learning_rate': 0.03259732439510371, 'max_depth': 7, 'min_child_weight': 7, 'gamma': 2.2307201722924775e-06, 'lambda': 3.484600259570591e-06, 'alpha': 8.289874434727904e-06}. Best is trial 12 with value: -0.66536.
[I 2024-02-02 03:20:23,387] Trial 15 finished with value: -0.625965 and parameters: {'learning_rate': 0.028368866535674848, 'max_depth': 7, 'min_child_weight': 6, 'gamma': 9.593147772824628e-07, 'lambda': 1.5105924042707817e-08, 'alpha': 0.0008682936226966101}. Best is trial 12 with value: -0.66536.
[I 2024-02-02 03:56:26,519] Trial 16 finished with value: -0.516625 and parameters: {'learning_rate': 0.0005677286994680385, 'max_depth': 5, 'min_child_weight': 7, 'gamma': 0.0005544423589977956, 'lambda': 1.0397723227896652e-05, 'alpha': 0.0002781284660685938}. Best is trial 12 with value: -0.66536.
[I 2024-02-02 04:19:29,614] Trial 17 finished with value: -0.660956 and parameters: {'learning_rate': 0.8313905471298385, 'max_depth': 6, 'min_child_weight': 6, 'gamma': 3.285691519936393e-07, 'lambda': 2.2288155737459342e-07, 'alpha': 6.778313797631744e-06}. Best is trial 12 with value: -0.66536.
[I 2024-02-02 05:00:23,575] Trial 18 finished with value: -0.6618 and parameters: {'learning_rate': 0.10087869906833168, 'max_depth': 8, 'min_child_weight': 7, 'gamma': 7.741785210899735e-06, 'lambda': 1.816329905107284e-05, 'alpha': 4.1313315677089357e-05}. Best is trial 12 with value: -0.66536.
[I 2024-02-02 05:37:03,367] Trial 19 finished with value: -0.57298 and parameters: {'learning_rate': 0.008777523870340862, 'max_depth': 5, 'min_child_weight': 6, 'gamma': 1.8064596818317705e-07, 'lambda': 1.6299590159375834e-07, 'alpha': 0.0007307363001116246}. Best is trial 12 with value: -0.66536.
[I 2024-02-02 06:16:07,509] Trial 20 finished with value: -0.664983 and parameters: {'learning_rate': 0.1923663985323311, 'max_depth': 7, 'min_child_weight': 8, 'gamma': 0.00020183953235069571, 'lambda': 1.2561033734511503e-06, 'alpha': 9.019162788797794e-07}. Best is trial 12 with value: -0.66536.
[I 2024-02-02 06:55:25,243] Trial 21 finished with value: -0.664329 and parameters: {'learning_rate': 0.15254122233190234, 'max_depth': 7, 'min_child_weight': 8, 'gamma': 0.0002464421942567506, 'lambda': 1.2349569774339116e-06, 'alpha': 8.638403344087297e-07}. Best is trial 12 with value: -0.66536.
[I 2024-02-02 07:33:14,844] Trial 22 finished with value: -0.660499 and parameters: {'learning_rate': 0.2044855862407242, 'max_depth': 6, 'min_child_weight': 8, 'gamma': 5.863799963971291e-05, 'lambda': 1.6185396213222556e-07, 'alpha': 3.067796304510788e-05}. Best is trial 12 with value: -0.66536.
[I 2024-02-02 08:11:47,987] Trial 23 finished with value: -0.630209 and parameters: {'learning_rate': 0.034856118949242676, 'max_depth': 7, 'min_child_weight': 7, 'gamma': 1.1088538861981223e-05, 'lambda': 1.4721106341483727e-05, 'alpha': 6.411680753211081e-07}. Best is trial 12 with value: -0.66536.
