[I 2024-01-28 15:20:49,880] A new study created in memory with name: no-name-927db11b-3ef2-41ac-be55-56f41f97365f
[I 2024-01-28 15:31:57,828] Trial 0 finished with value: -0.397956 and parameters: {'learning_rate': 0.0009471449934401804, 'max_depth': 5, 'min_child_weight': 5, 'gamma': 0.00010526170017970647, 'lambda': 3.533324334038134e-08, 'alpha': 1.0982299585713622e-05}. Best is trial 0 with value: -0.397956.
[I 2024-01-28 17:12:25,455] Trial 22 finished with value: -0.426964 and parameters: {'learning_rate': 0.00011223715590896655, 'max_depth': 8, 'min_child_weight': 2, 'gamma': 4.774224162212217e-05, 'lambda': 1.3029271067470638e-08, 'alpha': 0.004981259392774573}. Best is trial 22 with value: -0.426964.
[I 2024-01-28 17:15:01,891] Trial 23 finished with value: -0.418588 and parameters: {'learning_rate': 0.00018321310199259267, 'max_depth': 7, 'min_child_weight': 2, 'gamma': 5.1173026394153674e-05, 'lambda': 1.640115617113663e-08, 'alpha': 0.008265301878387903}. Best is trial 22 with value: -0.426964.
[I 2024-01-28 17:17:30,045] Trial 24 finished with value: -0.425151 and parameters: {'learning_rate': 1.0888047308118668e-05, 'max_depth': 8, 'min_child_weight': 3, 'gamma': 8.024673900277387e-06, 'lambda': 1.0101635519240615e-07, 'alpha': 0.03643468249410016}. Best is trial 22 with value: -0.426964.
[I 2024-01-28 17:19:58,681] Trial 25 finished with value: -0.426908 and parameters: {'learning_rate': 6.508962232323562e-06, 'max_depth': 8, 'min_child_weight': 2, 'gamma': 0.00021069083814136486, 'lambda': 1.1360677269196711e-07, 'alpha': 0.002323264787384749}. Best is trial 22 with value: -0.426964.
[I 2024-01-28 17:22:21,363] Trial 26 finished with value: -0.418519 and parameters: {'learning_rate': 0.0001670733791824079, 'max_depth': 7, 'min_child_weight': 3, 'gamma': 0.00024017650880197114, 'lambda': 1.4570999621955916e-08, 'alpha': 0.0324347552798352}. Best is trial 22 with value: -0.426964.
[I 2024-01-28 17:24:38,599] Trial 27 finished with value: -0.404832 and parameters: {'learning_rate': 6.6518400525915725e-06, 'max_depth': 6, 'min_child_weight': 4, 'gamma': 0.00025039177088916704, 'lambda': 1.567187208755754e-07, 'alpha': 0.0033322183476494076}. Best is trial 22 with value: -0.426964.
[I 2024-01-28 17:26:48,709] Trial 28 finished with value: -0.426145 and parameters: {'learning_rate': 1.7196018904512107e-05, 'max_depth': 8, 'min_child_weight': 2, 'gamma': 0.0058952395603777165, 'lambda': 1.2563081850555844e-08, 'alpha': 0.04444955214223713}. Best is trial 22 with value: -0.426964.
[I 2024-01-28 17:33:43,010] Trial 29 finished with value: -0.393864 and parameters: {'learning_rate': 0.0003709241106743656, 'max_depth': 5, 'min_child_weight': 5, 'gamma': 5.6227763743121225e-05, 'lambda': 5.753588950321666e-08, 'alpha': 0.0037568332596879033}. Best is trial 22 with value: -0.426964.
[I 2024-01-28 17:36:04,447] Trial 30 finished with value: -0.418152 and parameters: {'learning_rate': 0.0008553072620732622, 'max_depth': 7, 'min_child_weight': 3, 'gamma': 5.673890087890019e-05, 'lambda': 6.280854968932986e-08, 'alpha': 0.017693102286338323}. Best is trial 22 with value: -0.426964.
[I 2024-01-28 17:38:31,290] Trial 31 finished with value: -0.426337 and parameters: {'learning_rate': 4.709940558661356e-06, 'max_depth': 8, 'min_child_weight': 2, 'gamma': 1.5344923354968847e-05, 'lambda': 2.9637893021147935e-07, 'alpha': 0.0012104635664424957}. Best is trial 22 with value: -0.426964.
[I 2024-01-28 17:40:58,157] Trial 32 finished with value: -0.426098 and parameters: {'learning_rate': 2.2635339706255617e-05, 'max_depth': 8, 'min_child_weight': 2, 'gamma': 2.7271851515221327e-05, 'lambda': 3.3899992176732746e-08, 'alpha': 0.00223198340562575}. Best is trial 22 with value: -0.426964.
[I 2024-01-28 17:43:55,239] Trial 33 finished with value: -0.418635 and parameters: {'learning_rate': 5.793494701155711e-06, 'max_depth': 7, 'min_child_weight': 3, 'gamma': 4.313135434785056e-06, 'lambda': 1.9102969388139507e-06, 'alpha': 0.00041470299616089734}. Best is trial 22 with value: -0.426964.
[I 2024-01-28 17:46:17,569] Trial 34 finished with value: -0.426584 and parameters: {'learning_rate': 2.8462417587716135e-05, 'max_depth': 8, 'min_child_weight': 2, 'gamma': 2.2562168812217706e-05, 'lambda': 2.1391027795452263e-07, 'alpha': 0.004167548791432376}. Best is trial 22 with value: -0.426964.
[I 2024-01-28 17:49:10,086] Trial 35 finished with value: -0.417502 and parameters: {'learning_rate': 3.298185362752747e-05, 'max_depth': 7, 'min_child_weight': 4, 'gamma': 0.00017131273750308387, 'lambda': 2.0315192423916879e-07, 'alpha': 0.004215871964588605}. Best is trial 22 with value: -0.426964.
[I 2024-01-28 17:51:25,089] Trial 36 finished with value: -0.378485 and parameters: {'learning_rate': 7.392148602923612e-05, 'max_depth': 4, 'min_child_weight': 2, 'gamma': 3.2073799525175466e-05, 'lambda': 3.321204916823855e-08, 'alpha': 0.00881504940722291}. Best is trial 22 with value: -0.426964.
[I 2024-01-28 17:53:21,374] Trial 37 finished with value: -0.426099 and parameters: {'learning_rate': 0.00013346596705883412, 'max_depth': 8, 'min_child_weight': 4, 'gamma': 1.5853075075175466e-05, 'lambda': 2.37546685060791e-06, 'alpha': 0.05442839004253944}. Best is trial 22 with value: -0.426964.
[I 2024-01-28 17:55:33,439] Trial 38 finished with value: -0.404056 and parameters: {'learning_rate': 2.6740511003318146e-05, 'max_depth': 6, 'min_child_weight': 3, 'gamma': 7.325133108575311e-05, 'lambda': 1.4144071007011462e-07, 'alpha': 0.4485539345055153}. Best is trial 22 with value: -0.426964.
[I 2024-01-28 17:57:38,572] Trial 39 finished with value: -0.425645 and parameters: {'learning_rate': 1.3837542116519139e-05, 'max_depth': 8, 'min_child_weight': 2, 'gamma': 4.461985325734662e-06, 'lambda': 3.9162422539680723e-07, 'alpha': 0.013976666238639128}. Best is trial 22 with value: -0.426964.
[I 2024-01-28 18:00:36,091] Trial 40 finished with value: -0.418061 and parameters: {'learning_rate': 7.146151974061505e-07, 'max_depth': 7, 'min_child_weight': 3, 'gamma': 0.00032709073729894465, 'lambda': 1.0255837470146374e-08, 'alpha': 0.12180243730187515}. Best is trial 22 with value: -0.426964.
[I 2024-01-28 18:02:54,618] Trial 41 finished with value: -0.426425 and parameters: {'learning_rate': 2.994461221719056e-06, 'max_depth': 8, 'min_child_weight': 2, 'gamma': 2.0738630109631648e-05, 'lambda': 8.28985096416e-07, 'alpha': 0.0012054664440207883}. Best is trial 22 with value: -0.426964.
[I 2024-01-28 18:04:55,125] Trial 42 finished with value: -0.426518 and parameters: {'learning_rate': 9.522704606127406e-06, 'max_depth': 8, 'min_child_weight': 2, 'gamma': 8.427431744562794e-05, 'lambda': 7.098027880701074e-08, 'alpha': 0.001492973560165088}. Best is trial 22 with value: -0.426964.
[I 2024-01-28 18:06:55,449] Trial 43 finished with value: -0.426526 and parameters: {'learning_rate': 9.243590625379124e-06, 'max_depth': 8, 'min_child_weight': 2, 'gamma': 9.000602442140594e-05, 'lambda': 6.02236042600494e-08, 'alpha': 0.003832183643286237}. Best is trial 22 with value: -0.426964.
[I 2024-01-28 18:09:09,780] Trial 44 finished with value: -0.426601 and parameters: {'learning_rate': 2.216562450574136e-05, 'max_depth': 8, 'min_child_weight': 2, 'gamma': 0.00013006187608872828, 'lambda': 3.7852653283096636e-08, 'alpha': 0.0037702562591448493}. Best is trial 22 with value: -0.426964.
[I 2024-01-28 18:12:39,645] Trial 45 finished with value: -0.417297 and parameters: {'learning_rate': 8.450691328757085e-05, 'max_depth': 7, 'min_child_weight': 3, 'gamma': 0.0003962777002705588, 'lambda': 2.706155097157353e-08, 'alpha': 0.019702102144473273}. Best is trial 22 with value: -0.426964.
[I 2024-01-28 18:14:58,579] Trial 46 finished with value: -0.42577 and parameters: {'learning_rate': 2.2924283641331992e-05, 'max_depth': 8, 'min_child_weight': 2, 'gamma': 0.00013669993256843675, 'lambda': 1.3825649598484932e-07, 'alpha': 0.09627945999313911}. Best is trial 22 with value: -0.426964.
[I 2024-01-28 18:16:55,324] Trial 47 finished with value: -0.426172 and parameters: {'learning_rate': 0.0004160942226114986, 'max_depth': 8, 'min_child_weight': 2, 'gamma': 0.003951357406635369, 'lambda': 0.00041120063473250914, 'alpha': 0.005731164485799492}. Best is trial 22 with value: -0.426964.
[I 2024-01-28 18:19:15,207] Trial 48 finished with value: -0.378545 and parameters: {'learning_rate': 3.428629949045178e-08, 'max_depth': 4, 'min_child_weight': 3, 'gamma': 3.141014579591592e-06, 'lambda': 2.799083777727685e-07, 'alpha': 0.0002983482655973673}. Best is trial 22 with value: -0.426964.
[I 2024-01-28 18:21:20,881] Trial 49 finished with value: -0.425964 and parameters: {'learning_rate': 1.1863931661205444e-06, 'max_depth': 8, 'min_child_weight': 4, 'gamma': 7.771573173652491e-07, 'lambda': 2.792901235828174e-08, 'alpha': 0.000666877193008807}. Best is trial 22 with value: -0.426964.
[I 2024-01-28 18:25:21,728] Trial 50 finished with value: -0.417865 and parameters: {'learning_rate': 4.034358700157938e-07, 'max_depth': 7, 'min_child_weight': 2, 'gamma': 8.904002153408546e-06, 'lambda': 3.6851020315478003e-06, 'alpha': 0.002664725081209804}. Best is trial 22 with value: -0.426964.
[I 2024-01-28 18:27:22,850] Trial 51 finished with value: -0.426562 and parameters: {'learning_rate': 1.0699033908745932e-05, 'max_depth': 8, 'min_child_weight': 2, 'gamma': 3.8593627200594495e-05, 'lambda': 6.941306699354294e-08, 'alpha': 0.00493238008808365}. Best is trial 22 with value: -0.426964.
[I 2024-01-28 18:29:23,588] Trial 52 finished with value: -0.426122 and parameters: {'learning_rate': 4.0051754131923216e-05, 'max_depth': 8, 'min_child_weight': 2, 'gamma': 3.57697520297033e-05, 'lambda': 2.154029692927358e-08, 'alpha': 0.014456180686273853}. Best is trial 22 with value: -0.426964.
[I 2024-01-28 18:31:28,126] Trial 53 finished with value: -0.424832 and parameters: {'learning_rate': 1.5104380468761219e-05, 'max_depth': 8, 'min_child_weight': 7, 'gamma': 9.536583384251112e-06, 'lambda': 5.49527576601158e-08, 'alpha': 0.007357475970412933}. Best is trial 22 with value: -0.426964.
[I 2024-01-28 18:33:28,139] Trial 54 finished with value: -0.426543 and parameters: {'learning_rate': 1.9126628784237983e-06, 'max_depth': 8, 'min_child_weight': 2, 'gamma': 3.2695841310920044e-05, 'lambda': 3.580081913761019e-07, 'alpha': 0.0014980443381323023}. Best is trial 22 with value: -0.426964.
[I 2024-01-28 18:35:28,260] Trial 55 finished with value: -0.366856 and parameters: {'learning_rate': 3.5542689215035575e-06, 'max_depth': 3, 'min_child_weight': 3, 'gamma': 0.00011402752505196291, 'lambda': 0.00017184591793373277, 'alpha': 0.0002451733053992279}. Best is trial 22 with value: -0.426964.
[I 2024-01-28 18:38:25,382] Trial 56 finished with value: -0.418613 and parameters: {'learning_rate': 7.809820908044023e-06, 'max_depth': 7, 'min_child_weight': 2, 'gamma': 2.8250492972365586e-06, 'lambda': 0.0011363699147239493, 'alpha': 5.756873306725341e-05}. Best is trial 22 with value: -0.426964.
[I 2024-01-28 18:40:34,115] Trial 57 finished with value: -0.426488 and parameters: {'learning_rate': 5.061229440127017e-05, 'max_depth': 8, 'min_child_weight': 2, 'gamma': 1.3477593604417622e-05, 'lambda': 1.0405687696817767e-08, 'alpha': 0.0006637290609536447}. Best is trial 22 with value: -0.426964.
[I 2024-01-28 18:42:47,615] Trial 58 finished with value: -0.425876 and parameters: {'learning_rate': 2.941693199905438e-07, 'max_depth': 8, 'min_child_weight': 3, 'gamma': 0.0005087828574979372, 'lambda': 9.70875192795775e-08, 'alpha': 0.0022519877309108882}. Best is trial 22 with value: -0.426964.
[I 2024-01-28 18:46:15,523] Trial 59 finished with value: -0.417012 and parameters: {'learning_rate': 6.838891841504695e-08, 'max_depth': 7, 'min_child_weight': 6, 'gamma': 0.00012208924924976303, 'lambda': 7.842552880051678e-07, 'alpha': 0.00731718517983628}. Best is trial 22 with value: -0.426964.
[I 2024-01-28 18:48:35,938] Trial 60 finished with value: -0.389486 and parameters: {'learning_rate': 3.1102308855766904e-05, 'max_depth': 5, 'min_child_weight': 2, 'gamma': 6.550886336880672e-06, 'lambda': 1.7049576375703777e-07, 'alpha': 0.0007798065335085608}. Best is trial 22 with value: -0.426964.
[I 2024-01-28 18:51:02,971] Trial 61 finished with value: -0.426721 and parameters: {'learning_rate': 1.5777343562085584e-06, 'max_depth': 8, 'min_child_weight': 2, 'gamma': 3.760899143968967e-05, 'lambda': 4.217117450235855e-07, 'alpha': 0.0019284482821501651}. Best is trial 22 with value: -0.426964.
[I 2024-01-28 18:53:25,522] Trial 62 finished with value: -0.426906 and parameters: {'learning_rate': 1.628960248199511e-05, 'max_depth': 8, 'min_child_weight': 2, 'gamma': 4.625324360837764e-05, 'lambda': 2.1000012570252216e-08, 'alpha': 0.002469512968538662}. Best is trial 22 with value: -0.426964.
[I 2024-01-28 18:55:21,312] Trial 63 finished with value: -0.425073 and parameters: {'learning_rate': 1.7613902239369325e-05, 'max_depth': 8, 'min_child_weight': 8, 'gamma': 0.00017824078520709718, 'lambda': 2.0798573599729674e-08, 'alpha': 0.0021349419996097925}. Best is trial 22 with value: -0.426964.
[I 2024-01-28 18:57:26,138] Trial 64 finished with value: -0.426065 and parameters: {'learning_rate': 4.637251323990056e-06, 'max_depth': 8, 'min_child_weight': 3, 'gamma': 7.06449468181083e-05, 'lambda': 3.4209149563001766e-08, 'alpha': 0.000735872271081116}. Best is trial 22 with value: -0.426964.
[I 2024-01-28 18:59:53,019] Trial 65 finished with value: -0.426682 and parameters: {'learning_rate': 2.0307126140109438e-06, 'max_depth': 8, 'min_child_weight': 2, 'gamma': 2.2929334519299732e-05, 'lambda': 5.263209575438548e-07, 'alpha': 0.0027115697461421915}. Best is trial 22 with value: -0.426964.
[I 2024-01-28 19:02:11,418] Trial 66 finished with value: -0.426388 and parameters: {'learning_rate': 2.3186086071653537e-06, 'max_depth': 8, 'min_child_weight': 2, 'gamma': 0.0004956912078506189, 'lambda': 4.930504888031538e-07, 'alpha': 0.00023331662048763964}. Best is trial 22 with value: -0.426964.
[I 2024-01-28 19:04:16,219] Trial 67 finished with value: -0.417808 and parameters: {'learning_rate': 1.4837318824118843e-06, 'max_depth': 7, 'min_child_weight': 2, 'gamma': 5.7432008595785645e-05, 'lambda': 1.755947460983203e-08, 'alpha': 0.025065625752969306}. Best is trial 22 with value: -0.426964.
[I 2024-01-28 19:06:17,802] Trial 68 finished with value: -0.426707 and parameters: {'learning_rate': 3.1853657273877127e-06, 'max_depth': 8, 'min_child_weight': 3, 'gamma': 0.00023163088807173307, 'lambda': 1.1476024857003415e-06, 'alpha': 0.011701958860239265}. Best is trial 22 with value: -0.426964.
[I 2024-01-28 19:08:28,027] Trial 69 finished with value: -0.426901 and parameters: {'learning_rate': 3.203084169024677e-06, 'max_depth': 8, 'min_child_weight': 3, 'gamma': 0.00025302975771798785, 'lambda': 2.553842160625892e-05, 'alpha': 0.010046704656117985}. Best is trial 22 with value: -0.426964.
[I 2024-01-28 19:10:45,439] Trial 70 finished with value: -0.404021 and parameters: {'learning_rate': 1.1443776484258022e-06, 'max_depth': 6, 'min_child_weight': 4, 'gamma': 0.0002393747529412716, 'lambda': 1.6260096602195698e-05, 'alpha': 0.0131998133328346}. Best is trial 22 with value: -0.426964.
[I 2024-01-28 19:12:46,578] Trial 71 finished with value: -0.426707 and parameters: {'learning_rate': 3.4540729054737633e-06, 'max_depth': 8, 'min_child_weight': 3, 'gamma': 0.0007319078364307158, 'lambda': 1.1232329142775901e-06, 'alpha': 0.011466755092901166}. Best is trial 22 with value: -0.426964.
[I 2024-01-28 19:14:52,069] Trial 72 finished with value: -0.425662 and parameters: {'learning_rate': 4.037478073745474e-06, 'max_depth': 8, 'min_child_weight': 3, 'gamma': 0.0007675765544392793, 'lambda': 1.8196048986219419e-06, 'alpha': 0.01297383888743039}. Best is trial 22 with value: -0.426964.
[I 2024-01-28 19:17:06,496] Trial 73 finished with value: -0.425499 and parameters: {'learning_rate': 6.005627423703552e-06, 'max_depth': 8, 'min_child_weight': 3, 'gamma': 0.0007466793485264994, 'lambda': 4.962316179892061e-06, 'alpha': 0.022034584176382703}. Best is trial 22 with value: -0.426964.
[I 2024-01-28 19:19:03,065] Trial 74 finished with value: -0.424753 and parameters: {'learning_rate': 2.6940644150042648e-06, 'max_depth': 8, 'min_child_weight': 5, 'gamma': 0.0002785755884911179, 'lambda': 1.2442498425567688e-06, 'alpha': 0.03569559169243425}. Best is trial 22 with value: -0.426964.
[I 2024-01-28 19:21:04,063] Trial 75 finished with value: -0.426411 and parameters: {'learning_rate': 3.288070920772907e-06, 'max_depth': 8, 'min_child_weight': 3, 'gamma': 0.0012280557765534522, 'lambda': 8.783027829802779e-05, 'alpha': 0.009127007197039076}. Best is trial 22 with value: -0.426964.
[I 2024-01-28 19:26:23,424] Trial 76 finished with value: -0.417462 and parameters: {'learning_rate': 6.279346943238937e-06, 'max_depth': 7, 'min_child_weight': 3, 'gamma': 0.0016818007112912544, 'lambda': 3.658337745081978e-05, 'alpha': 0.006200518935367527}. Best is trial 22 with value: -0.426964.
[I 2024-01-28 19:28:58,973] Trial 77 finished with value: -0.426061 and parameters: {'learning_rate': 7.34896072773832e-07, 'max_depth': 8, 'min_child_weight': 4, 'gamma': 0.0002343362814090066, 'lambda': 7.166155222167556e-06, 'alpha': 0.001543405554293475}. Best is trial 22 with value: -0.426964.
[I 2024-01-28 19:31:51,431] Trial 78 finished with value: -0.417806 and parameters: {'learning_rate': 7.348534042853559e-06, 'max_depth': 7, 'min_child_weight': 3, 'gamma': 4.933520064450357e-05, 'lambda': 1.0186993339888922e-06, 'alpha': 0.05208395615657552}. Best is trial 22 with value: -0.426964.
[I 2024-01-28 19:34:35,868] Trial 79 finished with value: -0.425775 and parameters: {'learning_rate': 4.623084724313115e-07, 'max_depth': 8, 'min_child_weight': 4, 'gamma': 0.00010195263293692461, 'lambda': 1.0956992100621128e-07, 'alpha': 0.022258062943395683}. Best is trial 22 with value: -0.426964.
[I 2024-01-28 19:36:58,314] Trial 80 finished with value: -0.426084 and parameters: {'learning_rate': 1.4292804679623124e-06, 'max_depth': 8, 'min_child_weight': 2, 'gamma': 0.0004278984052700163, 'lambda': 2.6951133876838056e-07, 'alpha': 0.010427985628818033}. Best is trial 22 with value: -0.426964.
[I 2024-01-28 19:39:25,142] Trial 81 finished with value: -0.426682 and parameters: {'learning_rate': 1.8998486624964487e-06, 'max_depth': 8, 'min_child_weight': 2, 'gamma': 1.3862555145711729e-05, 'lambda': 5.970179202949586e-07, 'alpha': 0.0027128401453948466}. Best is trial 22 with value: -0.426964.
[I 2024-01-28 19:41:25,275] Trial 82 finished with value: -0.426508 and parameters: {'learning_rate': 2.8575151284759372e-06, 'max_depth': 8, 'min_child_weight': 2, 'gamma': 3.65361766072412e-05, 'lambda': 2.6252202545518105e-06, 'alpha': 0.005323586287344873}. Best is trial 22 with value: -0.426964.
[I 2024-01-28 19:43:25,768] Trial 83 finished with value: -0.426479 and parameters: {'learning_rate': 4.236220165464618e-06, 'max_depth': 8, 'min_child_weight': 2, 'gamma': 2.800742424687647e-05, 'lambda': 5.26316889249196e-07, 'alpha': 0.003612446913919505}. Best is trial 22 with value: -0.426964.
[I 2024-01-28 19:45:35,322] Trial 84 finished with value: -0.426165 and parameters: {'learning_rate': 1.0871571839207747e-05, 'max_depth': 8, 'min_child_weight': 3, 'gamma': 0.00019220679329647462, 'lambda': 1.2902609911912092e-06, 'alpha': 0.000984192496601454}. Best is trial 22 with value: -0.426964.
[I 2024-01-28 19:48:02,377] Trial 85 finished with value: -0.426721 and parameters: {'learning_rate': 1.0045369345575082e-06, 'max_depth': 8, 'min_child_weight': 2, 'gamma': 1.9647331825734608e-05, 'lambda': 2.155820637701678e-07, 'alpha': 0.0018135196381738978}. Best is trial 22 with value: -0.426964.
[I 2024-01-28 19:50:29,499] Trial 86 finished with value: -0.426231 and parameters: {'learning_rate': 9.381403646012842e-07, 'max_depth': 8, 'min_child_weight': 2, 'gamma': 6.897205947397924e-05, 'lambda': 2.146137573142508e-07, 'alpha': 0.0004905784426623329}. Best is trial 22 with value: -0.426964.
[I 2024-01-28 19:52:47,778] Trial 87 finished with value: -0.42612 and parameters: {'learning_rate': 5.036500365287122e-06, 'max_depth': 8, 'min_child_weight': 3, 'gamma': 1.7419810895010018e-05, 'lambda': 4.2411295193867054e-08, 'alpha': 0.001597812833305828}. Best is trial 22 with value: -0.426964.
[I 2024-01-28 19:55:40,783] Trial 88 finished with value: -0.418576 and parameters: {'learning_rate': 6.62643813111207e-07, 'max_depth': 7, 'min_child_weight': 2, 'gamma': 0.00015514192450057782, 'lambda': 1.0513979400913317e-07, 'alpha': 0.006051178108967523}. Best is trial 22 with value: -0.426964.
