[I 2024-01-24 16:20:06,311] A new study created in memory with name: no-name-b60b012b-d5a3-4500-8277-fbba30a73341
[I 2024-01-24 16:21:47,875] Trial 0 finished with value: -0.68998 and parameters: {'learning_rate': 0.0006096187937588679, 'max_depth': 6, 'min_child_weight': 3, 'gamma': 0.032232458429972556, 'lambda': 1.87345593307003e-05, 'alpha': 1.3907105688792442e-07}. Best is trial 0 with value: -0.68998.
[I 2024-01-24 18:55:29,064] Trial 28 finished with value: -0.745432 and parameters: {'learning_rate': 0.01906661853210883, 'max_depth': 8, 'min_child_weight': 5, 'gamma': 1.1127088853775496e-06, 'lambda': 4.4395381143341443e-07, 'alpha': 6.910972757318413e-06}. Best is trial 26 with value: -0.764289.
[I 2024-01-24 18:58:41,586] Trial 29 finished with value: -0.70761 and parameters: {'learning_rate': 0.000637443007174481, 'max_depth': 7, 'min_child_weight': 3, 'gamma': 2.8474434931191236e-07, 'lambda': 6.738374279666423e-06, 'alpha': 6.725682645196598e-05}. Best is trial 26 with value: -0.764289.
[I 2024-01-24 19:00:46,193] Trial 30 finished with value: -0.743079 and parameters: {'learning_rate': 0.9871641145556526, 'max_depth': 8, 'min_child_weight': 2, 'gamma': 3.7990842152549114e-06, 'lambda': 1.751934800155036e-05, 'alpha': 1.5597178151473617e-06}. Best is trial 26 with value: -0.764289.
[I 2024-01-24 19:06:30,600] Trial 31 finished with value: -0.759185 and parameters: {'learning_rate': 0.17671892260085403, 'max_depth': 7, 'min_child_weight': 5, 'gamma': 6.637646603576976e-08, 'lambda': 6.599494696784508e-08, 'alpha': 9.69817511800346e-05}. Best is trial 26 with value: -0.764289.
[I 2024-01-24 19:13:58,158] Trial 32 finished with value: -0.752786 and parameters: {'learning_rate': 0.07274101739321535, 'max_depth': 6, 'min_child_weight': 4, 'gamma': 1.3437988323607022e-07, 'lambda': 1.973079469120282e-07, 'alpha': 1.3130513292614506e-05}. Best is trial 26 with value: -0.764289.
[I 2024-01-24 19:20:33,597] Trial 33 finished with value: -0.755904 and parameters: {'learning_rate': 0.2360500289126335, 'max_depth': 5, 'min_child_weight': 5, 'gamma': 5.358251108694161e-07, 'lambda': 1.2450836603561388e-06, 'alpha': 0.0005737390537725197}. Best is trial 26 with value: -0.764289.
[I 2024-01-24 19:27:06,398] Trial 34 finished with value: -0.730056 and parameters: {'learning_rate': 0.05424890617161068, 'max_depth': 3, 'min_child_weight': 4, 'gamma': 3.4049403690448255e-08, 'lambda': 2.4138735178566143e-07, 'alpha': 2.7732257365409517e-05}. Best is trial 26 with value: -0.764289.
[I 2024-01-24 19:32:17,376] Trial 35 finished with value: -0.757994 and parameters: {'learning_rate': 0.24818061419326418, 'max_depth': 6, 'min_child_weight': 6, 'gamma': 1.013049851972085e-07, 'lambda': 3.5954352676983946e-05, 'alpha': 0.00020128148915510817}. Best is trial 26 with value: -0.764289.
[I 2024-01-24 19:33:53,449] Trial 36 finished with value: -0.701997 and parameters: {'learning_rate': 0.00020478405558687019, 'max_depth': 7, 'min_child_weight': 6, 'gamma': 4.277506980394605e-06, 'lambda': 4.519520168825268e-08, 'alpha': 1.7842468878644657e-05}. Best is trial 26 with value: -0.764289.
[I 2024-01-24 19:39:34,283] Trial 37 finished with value: -0.754049 and parameters: {'learning_rate': 0.28439668689125963, 'max_depth': 5, 'min_child_weight': 5, 'gamma': 6.049210048831236e-07, 'lambda': 4.82878834044615e-06, 'alpha': 0.002507142550467017}. Best is trial 26 with value: -0.764289.
[I 2024-01-24 19:48:03,726] Trial 38 finished with value: -0.765075 and parameters: {'learning_rate': 0.10746247124706873, 'max_depth': 8, 'min_child_weight': 4, 'gamma': 3.559404459361737e-08, 'lambda': 5.672536329315225e-08, 'alpha': 8.100589320192288e-05}. Best is trial 38 with value: -0.765075.
[I 2024-01-24 19:57:01,234] Trial 39 finished with value: -0.738301 and parameters: {'learning_rate': 0.009185764403911197, 'max_depth': 8, 'min_child_weight': 4, 'gamma': 2.4783050176896426e-08, 'lambda': 5.516393287348473e-08, 'alpha': 9.733657567157526e-05}. Best is trial 38 with value: -0.765075.
[I 2024-01-24 20:05:58,710] Trial 40 finished with value: -0.752205 and parameters: {'learning_rate': 0.032458751868526876, 'max_depth': 8, 'min_child_weight': 3, 'gamma': 1.1434156574340191e-05, 'lambda': 1.8118497613166145e-06, 'alpha': 1.8614001859735092e-06}. Best is trial 38 with value: -0.765075.
[I 2024-01-24 20:11:36,647] Trial 41 finished with value: -0.759195 and parameters: {'learning_rate': 0.10782540802048414, 'max_depth': 8, 'min_child_weight': 5, 'gamma': 5.733088937987754e-08, 'lambda': 4.569044526177987e-07, 'alpha': 0.0006465299422600878}. Best is trial 38 with value: -0.765075.
[I 2024-01-24 20:18:57,225] Trial 42 finished with value: -0.761645 and parameters: {'learning_rate': 0.31670665840987133, 'max_depth': 7, 'min_child_weight': 6, 'gamma': 1.264812413758111e-07, 'lambda': 1.7344217369822137e-07, 'alpha': 4.805619610467918e-05}. Best is trial 38 with value: -0.765075.
[I 2024-01-24 20:24:03,904] Trial 43 finished with value: -0.759263 and parameters: {'learning_rate': 0.43427878864525915, 'max_depth': 7, 'min_child_weight': 6, 'gamma': 1.9187853719597162e-07, 'lambda': 5.367191503799576e-08, 'alpha': 4.765761528101278e-05}. Best is trial 38 with value: -0.765075.
[I 2024-01-24 20:31:37,745] Trial 44 finished with value: -0.755231 and parameters: {'learning_rate': 0.0651257990444763, 'max_depth': 8, 'min_child_weight': 7, 'gamma': 3.162360878780179e-08, 'lambda': 2.5818995557056852e-08, 'alpha': 1.0997402405173316e-05}. Best is trial 38 with value: -0.765075.
[I 2024-01-24 20:35:26,951] Trial 45 finished with value: -0.750133 and parameters: {'learning_rate': 0.850354849091952, 'max_depth': 7, 'min_child_weight': 6, 'gamma': 2.891581257079363e-07, 'lambda': 7.325571369100185e-07, 'alpha': 0.00021940665781977387}. Best is trial 38 with value: -0.765075.
[I 2024-01-24 20:38:54,302] Trial 46 finished with value: -0.758277 and parameters: {'learning_rate': 0.3056629045349704, 'max_depth': 8, 'min_child_weight': 3, 'gamma': 1.1819546879073243e-08, 'lambda': 2.72564794084495e-07, 'alpha': 4.42855961526357e-06}. Best is trial 38 with value: -0.765075.
[I 2024-01-24 20:47:00,233] Trial 47 finished with value: -0.746758 and parameters: {'learning_rate': 0.03270099656349689, 'max_depth': 7, 'min_child_weight': 4, 'gamma': 1.0614230495443015e-07, 'lambda': 2.8719330624976156e-08, 'alpha': 6.651994531924953e-05}. Best is trial 38 with value: -0.765075.
[I 2024-01-24 20:55:53,578] Trial 48 finished with value: -0.734362 and parameters: {'learning_rate': 0.006587713681430263, 'max_depth': 8, 'min_child_weight': 7, 'gamma': 8.632957152891921e-07, 'lambda': 8.414802782635257e-06, 'alpha': 0.0003606771540510408}. Best is trial 38 with value: -0.765075.
[I 2024-01-24 21:03:49,348] Trial 49 finished with value: -0.757801 and parameters: {'learning_rate': 0.08681357872346959, 'max_depth': 7, 'min_child_weight': 4, 'gamma': 2.0700190211498325e-08, 'lambda': 9.898147404034802e-08, 'alpha': 2.329497227167049e-05}. Best is trial 38 with value: -0.765075.
[I 2024-01-24 21:10:22,576] Trial 50 finished with value: -0.755091 and parameters: {'learning_rate': 0.4573675708641629, 'max_depth': 4, 'min_child_weight': 6, 'gamma': 4.4826733618965295e-07, 'lambda': 1.1496068093666848e-08, 'alpha': 8.995757938350754e-05}. Best is trial 38 with value: -0.765075.
[I 2024-01-24 21:14:29,532] Trial 51 finished with value: -0.757758 and parameters: {'learning_rate': 0.31137522360497205, 'max_depth': 7, 'min_child_weight': 6, 'gamma': 2.2353671583253968e-07, 'lambda': 5.057757057346475e-08, 'alpha': 5.623493536119809e-05}. Best is trial 38 with value: -0.765075.
[I 2024-01-24 21:17:30,839] Trial 52 finished with value: -0.754824 and parameters: {'learning_rate': 0.5158430445935644, 'max_depth': 7, 'min_child_weight': 5, 'gamma': 1.196534382318572e-07, 'lambda': 2.1282917088552136e-08, 'alpha': 3.6075074142057676e-05}. Best is trial 38 with value: -0.765075.
[I 2024-01-24 21:25:12,473] Trial 53 finished with value: -0.762018 and parameters: {'learning_rate': 0.14709182989181796, 'max_depth': 7, 'min_child_weight': 6, 'gamma': 3.294177771214711e-08, 'lambda': 7.594727664319495e-08, 'alpha': 0.0002176619655525307}. Best is trial 38 with value: -0.765075.
[I 2024-01-24 21:31:52,554] Trial 54 finished with value: -0.757649 and parameters: {'learning_rate': 0.13335533618210962, 'max_depth': 6, 'min_child_weight': 5, 'gamma': 4.404581248208443e-08, 'lambda': 2.670520595605485e-07, 'alpha': 0.00014667554613551978}. Best is trial 38 with value: -0.765075.
[I 2024-01-24 21:39:55,080] Trial 55 finished with value: -0.750252 and parameters: {'learning_rate': 0.04253643172382656, 'max_depth': 7, 'min_child_weight': 7, 'gamma': 1.1114590156231582e-08, 'lambda': 9.347426422752155e-07, 'alpha': 0.001233389735038551}. Best is trial 38 with value: -0.765075.
[I 2024-01-24 21:48:47,614] Trial 56 finished with value: -0.746637 and parameters: {'learning_rate': 0.02301405874608679, 'max_depth': 8, 'min_child_weight': 6, 'gamma': 2.338831177033618e-08, 'lambda': 9.445218611459604e-08, 'alpha': 0.00037243532629297946}. Best is trial 38 with value: -0.765075.
[I 2024-01-24 21:56:36,043] Trial 57 finished with value: -0.760553 and parameters: {'learning_rate': 0.12069662042514222, 'max_depth': 7, 'min_child_weight': 5, 'gamma': 3.914919124405081e-08, 'lambda': 4.2857588492466943e-07, 'alpha': 0.00013370272029150778}. Best is trial 38 with value: -0.765075.
[I 2024-01-24 22:04:06,438] Trial 58 finished with value: -0.748501 and parameters: {'learning_rate': 0.05488759146472482, 'max_depth': 6, 'min_child_weight': 4, 'gamma': 7.056769903772631e-08, 'lambda': 2.0808426356806475e-06, 'alpha': 1.2063876005403815e-05}. Best is trial 38 with value: -0.765075.
[I 2024-01-24 22:06:26,910] Trial 59 finished with value: -0.743768 and parameters: {'learning_rate': 0.9392739406582162, 'max_depth': 8, 'min_child_weight': 5, 'gamma': 2.6570014219263524e-07, 'lambda': 2.4933707868278435e-08, 'alpha': 0.0016655868033178683}. Best is trial 38 with value: -0.765075.
[I 2024-01-24 22:12:43,946] Trial 60 finished with value: -0.762799 and parameters: {'learning_rate': 0.19243553566947716, 'max_depth': 8, 'min_child_weight': 7, 'gamma': 1.9179466097559454e-06, 'lambda': 1.3882563566725275e-07, 'alpha': 0.0004330289885061713}. Best is trial 38 with value: -0.765075.
[I 2024-01-24 22:20:11,704] Trial 61 finished with value: -0.764532 and parameters: {'learning_rate': 0.1824248661852189, 'max_depth': 8, 'min_child_weight': 7, 'gamma': 1.5149380786920286e-06, 'lambda': 1.1842029580146196e-07, 'alpha': 0.00018524765005531872}. Best is trial 38 with value: -0.765075.
[I 2024-01-24 22:24:47,007] Trial 62 finished with value: -0.756309 and parameters: {'learning_rate': 0.4569822725524908, 'max_depth': 8, 'min_child_weight': 7, 'gamma': 1.4542099710551605e-06, 'lambda': 1.7348780353633838e-07, 'alpha': 0.00020160478118259103}. Best is trial 38 with value: -0.765075.
[I 2024-01-24 22:32:46,023] Trial 63 finished with value: -0.764697 and parameters: {'learning_rate': 0.19704291006410363, 'max_depth': 8, 'min_child_weight': 7, 'gamma': 8.410176810877089e-07, 'lambda': 5.598749798910663e-07, 'alpha': 0.0003179003664701679}. Best is trial 38 with value: -0.765075.
[I 2024-01-24 22:41:13,610] Trial 64 finished with value: -0.760633 and parameters: {'learning_rate': 0.09111718577325917, 'max_depth': 8, 'min_child_weight': 7, 'gamma': 1.962932012585737e-06, 'lambda': 5.77291667417665e-07, 'alpha': 0.0009641447384785061}. Best is trial 38 with value: -0.765075.
[I 2024-01-24 22:49:15,430] Trial 65 finished with value: -0.764708 and parameters: {'learning_rate': 0.18328266119474665, 'max_depth': 8, 'min_child_weight': 8, 'gamma': 8.194590387837445e-07, 'lambda': 8.00136726569229e-08, 'alpha': 0.0002703656545610034}. Best is trial 38 with value: -0.765075.
[I 2024-01-24 22:58:03,218] Trial 66 finished with value: -0.749338 and parameters: {'learning_rate': 0.02796849517985853, 'max_depth': 8, 'min_child_weight': 8, 'gamma': 8.078595216720578e-07, 'lambda': 3.1322630585961625e-07, 'alpha': 0.00053313001137948}. Best is trial 38 with value: -0.765075.
[I 2024-01-24 23:06:53,752] Trial 67 finished with value: -0.743314 and parameters: {'learning_rate': 0.015161026954227304, 'max_depth': 8, 'min_child_weight': 8, 'gamma': 3.188876366308297e-06, 'lambda': 1.1805261352334573e-06, 'alpha': 0.0036153680693094643}. Best is trial 38 with value: -0.765075.
[I 2024-01-24 23:13:13,823] Trial 68 finished with value: -0.762063 and parameters: {'learning_rate': 0.1947357522307158, 'max_depth': 8, 'min_child_weight': 9, 'gamma': 1.1846795119970344e-06, 'lambda': 1.2339463693167942e-07, 'alpha': 0.0002720830136677404}. Best is trial 38 with value: -0.765075.
[I 2024-01-24 23:21:49,444] Trial 69 finished with value: -0.757672 and parameters: {'learning_rate': 0.06002261465652848, 'max_depth': 8, 'min_child_weight': 9, 'gamma': 1.1556588008704291e-06, 'lambda': 3.422274867611165e-08, 'alpha': 0.0003099557811497647}. Best is trial 38 with value: -0.765075.
[I 2024-01-24 23:29:42,619] Trial 70 finished with value: -0.764034 and parameters: {'learning_rate': 0.20593261836764665, 'max_depth': 8, 'min_child_weight': 10, 'gamma': 6.454291658485551e-06, 'lambda': 1.6790265905358523e-08, 'alpha': 0.0007767272299089573}. Best is trial 38 with value: -0.765075.
[I 2024-01-24 23:37:42,279] Trial 71 finished with value: -0.762453 and parameters: {'learning_rate': 0.17014950321721928, 'max_depth': 8, 'min_child_weight': 10, 'gamma': 6.729094455892449e-06, 'lambda': 1.860968964546455e-08, 'alpha': 0.0007808830139574397}. Best is trial 38 with value: -0.765075.
[I 2024-01-24 23:40:59,985] Trial 72 finished with value: -0.7553 and parameters: {'learning_rate': 0.5284928971264987, 'max_depth': 8, 'min_child_weight': 10, 'gamma': 7.753894098580575e-06, 'lambda': 1.701261898773863e-08, 'alpha': 0.0008564939990121024}. Best is trial 38 with value: -0.765075.
[I 2024-01-24 23:46:51,825] Trial 73 finished with value: -0.755692 and parameters: {'learning_rate': 0.0852542801153363, 'max_depth': 8, 'min_child_weight': 10, 'gamma': 5.850654125293588e-06, 'lambda': 1.8091499471662677e-08, 'alpha': 0.00013344342160245834}. Best is trial 38 with value: -0.765075.
[I 2024-01-24 23:54:50,783] Trial 74 finished with value: -0.763235 and parameters: {'learning_rate': 0.15762180456566022, 'max_depth': 8, 'min_child_weight': 10, 'gamma': 1.8673437891804543e-06, 'lambda': 3.6867475097304185e-08, 'alpha': 0.0007117934683643817}. Best is trial 38 with value: -0.765075.
[I 2024-01-25 00:03:26,145] Trial 75 finished with value: -0.755224 and parameters: {'learning_rate': 0.047593161408718804, 'max_depth': 8, 'min_child_weight': 10, 'gamma': 2.5697060030425126e-06, 'lambda': 1.0818526320958388e-08, 'alpha': 0.0017009967677169406}. Best is trial 38 with value: -0.765075.
[I 2024-01-25 00:06:50,407] Trial 76 finished with value: -0.75344 and parameters: {'learning_rate': 0.6347350546419458, 'max_depth': 8, 'min_child_weight': 9, 'gamma': 2.0772106336738665e-06, 'lambda': 3.921497642047004e-08, 'alpha': 0.0004895323386223445}. Best is trial 38 with value: -0.765075.
[I 2024-01-25 00:14:52,642] Trial 77 finished with value: -0.764336 and parameters: {'learning_rate': 0.17771716929301482, 'max_depth': 8, 'min_child_weight': 7, 'gamma': 4.43384893883942e-07, 'lambda': 6.528361481820935e-08, 'alpha': 0.004147164641579526}. Best is trial 38 with value: -0.765075.
[I 2024-01-25 00:23:36,444] Trial 78 finished with value: -0.74453 and parameters: {'learning_rate': 0.018752971782238212, 'max_depth': 8, 'min_child_weight': 9, 'gamma': 5.402506173657585e-07, 'lambda': 6.614563238151218e-08, 'alpha': 0.003960370714478976}. Best is trial 38 with value: -0.765075.
[I 2024-01-25 00:30:06,860] Trial 79 finished with value: -0.737547 and parameters: {'learning_rate': 0.09758853633296258, 'max_depth': 3, 'min_child_weight': 7, 'gamma': 3.9078691817881327e-07, 'lambda': 3.706021763058487e-08, 'alpha': 0.0063032736341787545}. Best is trial 38 with value: -0.765075.
[I 2024-01-25 00:38:47,170] Trial 80 finished with value: -0.75303 and parameters: {'learning_rate': 0.03462245098642273, 'max_depth': 8, 'min_child_weight': 8, 'gamma': 1.2355466157594975e-05, 'lambda': 5.977140083019046e-08, 'alpha': 0.0016801585016199137}. Best is trial 38 with value: -0.765075.
[I 2024-01-25 00:45:49,610] Trial 81 finished with value: -0.763537 and parameters: {'learning_rate': 0.21706679896420608, 'max_depth': 8, 'min_child_weight': 7, 'gamma': 2.1060886567255066e-06, 'lambda': 1.4451709926771695e-07, 'alpha': 0.0012441034152201158}. Best is trial 38 with value: -0.765075.
[I 2024-01-25 00:52:13,835] Trial 82 finished with value: -0.763206 and parameters: {'learning_rate': 0.24720423521970114, 'max_depth': 8, 'min_child_weight': 8, 'gamma': 7.466250643379524e-07, 'lambda': 2.0597604979341188e-07, 'alpha': 0.0028735283266323945}. Best is trial 38 with value: -0.765075.
[I 2024-01-25 00:56:42,889] Trial 83 finished with value: -0.751881 and parameters: {'learning_rate': 0.6443663117848328, 'max_depth': 8, 'min_child_weight': 7, 'gamma': 3.987270180934238e-06, 'lambda': 1.0130299964331431e-07, 'alpha': 9.046050108517156e-05}. Best is trial 38 with value: -0.765075.
[I 2024-01-25 01:04:52,610] Trial 84 finished with value: -0.764429 and parameters: {'learning_rate': 0.13518147008203166, 'max_depth': 8, 'min_child_weight': 7, 'gamma': 1.2343873396840743e-06, 'lambda': 3.3908346997580784e-08, 'alpha': 0.01254343634907394}. Best is trial 38 with value: -0.765075.
[I 2024-01-25 01:10:46,223] Trial 85 finished with value: -0.763078 and parameters: {'learning_rate': 0.27576192786048015, 'max_depth': 8, 'min_child_weight': 7, 'gamma': 5.186128800003135e-07, 'lambda': 3.8708731163358313e-07, 'alpha': 0.01150867046616751}. Best is trial 38 with value: -0.765075.
[I 2024-01-25 01:19:18,061] Trial 86 finished with value: -0.758544 and parameters: {'learning_rate': 0.06318610841081662, 'max_depth': 8, 'min_child_weight': 7, 'gamma': 1.1701904821984145e-06, 'lambda': 7.559878678124854e-08, 'alpha': 0.0012340612361718282}. Best is trial 38 with value: -0.765075.
[I 2024-01-25 01:25:37,197] Trial 87 finished with value: -0.760419 and parameters: {'learning_rate': 0.428579984252978, 'max_depth': 8, 'min_child_weight': 8, 'gamma': 3.681761169802263e-07, 'lambda': 1.0347798471859239e-08, 'alpha': 0.005716640989216708}. Best is trial 38 with value: -0.765075.
[I 2024-01-25 01:27:34,010] Trial 88 finished with value: -0.742236 and parameters: {'learning_rate': 0.9433416202022677, 'max_depth': 8, 'min_child_weight': 8, 'gamma': 8.392428426433496e-07, 'lambda': 6.354681295457233e-07, 'alpha': 0.018959378936322276}. Best is trial 38 with value: -0.765075.
