[I 2024-02-01 21:05:59,857] A new study created in memory with name: no-name-56bc8748-d3e0-4876-a642-09fadfb9c98e
[I 2024-02-01 21:48:18,441] Trial 0 finished with value: -0.633922 and parameters: {'learning_rate': 0.05145038445222666, 'max_depth': 6, 'min_child_weight': 2, 'gamma': 0.001082869473163061, 'lambda': 0.6519825837241786, 'alpha': 3.7929547665753763e-06}. Best is trial 0 with value: -0.633922.
[I 2024-02-02 02:10:06,475] Trial 11 finished with value: -0.658573 and parameters: {'learning_rate': 0.8058106112460527, 'max_depth': 7, 'min_child_weight': 5, 'gamma': 2.5328013304564856e-06, 'lambda': 9.779175576629738e-07, 'alpha': 0.7796771021166081}. Best is trial 2 with value: -0.666381.
[I 2024-02-02 02:38:41,500] Trial 12 finished with value: -0.658174 and parameters: {'learning_rate': 0.7789252701094472, 'max_depth': 7, 'min_child_weight': 4, 'gamma': 1.234997507941706e-06, 'lambda': 0.00022327707610948617, 'alpha': 0.8819836808866701}. Best is trial 2 with value: -0.666381.
[I 2024-02-02 02:58:29,700] Trial 13 finished with value: -0.657039 and parameters: {'learning_rate': 0.9109310770381914, 'max_depth': 7, 'min_child_weight': 4, 'gamma': 0.0004439214059187896, 'lambda': 0.00017043464870019907, 'alpha': 0.0706050656016868}. Best is trial 2 with value: -0.666381.
[I 2024-02-02 03:33:51,803] Trial 14 finished with value: -0.588147 and parameters: {'learning_rate': 0.005370696414870476, 'max_depth': 7, 'min_child_weight': 3, 'gamma': 1.9401693665521337e-05, 'lambda': 3.588367559598192e-06, 'alpha': 0.049728183839111643}. Best is trial 2 with value: -0.666381.
[I 2024-02-02 04:01:01,109] Trial 15 finished with value: -0.662962 and parameters: {'learning_rate': 0.6039982839910848, 'max_depth': 8, 'min_child_weight': 5, 'gamma': 0.0014025578700531962, 'lambda': 0.0006416831947466066, 'alpha': 0.06605986346510137}. Best is trial 2 with value: -0.666381.
[I 2024-02-02 04:36:35,910] Trial 16 finished with value: -0.543016 and parameters: {'learning_rate': 0.00021023883485048973, 'max_depth': 8, 'min_child_weight': 3, 'gamma': 0.003454610259143279, 'lambda': 0.0010920800098677332, 'alpha': 0.0013952309914203032}. Best is trial 2 with value: -0.666381.
[I 2024-02-02 05:13:05,520] Trial 17 finished with value: -0.599166 and parameters: {'learning_rate': 0.005233157137967808, 'max_depth': 8, 'min_child_weight': 6, 'gamma': 0.11285801953028136, 'lambda': 0.0009533262995148976, 'alpha': 0.02438126265595316}. Best is trial 2 with value: -0.666381.
[I 2024-02-02 05:47:49,384] Trial 18 finished with value: -0.659681 and parameters: {'learning_rate': 0.17599144711610032, 'max_depth': 6, 'min_child_weight': 3, 'gamma': 0.5285138290062328, 'lambda': 4.828384984511784e-05, 'alpha': 0.00016968832199208627}. Best is trial 2 with value: -0.666381.
[I 2024-02-02 06:24:17,312] Trial 19 finished with value: -0.627499 and parameters: {'learning_rate': 0.022467959696648443, 'max_depth': 8, 'min_child_weight': 5, 'gamma': 0.0015471443154986986, 'lambda': 0.11458626961174037, 'alpha': 0.015063467130369414}. Best is trial 2 with value: -0.666381.
[I 2024-02-02 06:57:22,773] Trial 20 finished with value: -0.522401 and parameters: {'learning_rate': 0.0008906883981549666, 'max_depth': 5, 'min_child_weight': 8, 'gamma': 0.039175491454637786, 'lambda': 0.000979195286948801, 'alpha': 0.1280895503403689}. Best is trial 2 with value: -0.666381.
[I 2024-02-02 07:32:36,165] Trial 21 finished with value: -0.653616 and parameters: {'learning_rate': 0.11603144718170695, 'max_depth': 6, 'min_child_weight': 3, 'gamma': 0.8312736519694097, 'lambda': 6.443212382148823e-05, 'alpha': 0.0005669966230064735}. Best is trial 2 with value: -0.666381.
[I 2024-02-02 08:07:46,101] Trial 22 finished with value: -0.667142 and parameters: {'learning_rate': 0.3144334530141504, 'max_depth': 7, 'min_child_weight': 3, 'gamma': 0.14798435683709835, 'lambda': 1.8082069186667057e-05, 'alpha': 7.674656381994535e-05}. Best is trial 22 with value: -0.667142.
