[I 2024-02-01 21:05:24,113] A new study created in memory with name: no-name-64d5d462-f2e2-47cb-bf98-7dc721d2e5fd
[I 2024-02-01 21:10:47,515] Trial 0 finished with value: -0.37386 and parameters: {'learning_rate': 2.982159277365803e-05, 'max_depth': 4, 'min_child_weight': 7, 'gamma': 0.10368513868673364, 'lambda': 0.49330741712610937, 'alpha': 0.00035798418241977297}. Best is trial 0 with value: -0.37386.
[I 2024-02-02 01:20:05,060] Trial 11 finished with value: -0.652322 and parameters: {'learning_rate': 0.7717053449468064, 'max_depth': 3, 'min_child_weight': 8, 'gamma': 1.6027705220702344e-08, 'lambda': 0.0013643633345777188, 'alpha': 1.5155438430673743e-08}. Best is trial 11 with value: -0.652322.
[I 2024-02-02 01:57:31,216] Trial 12 finished with value: -0.648515 and parameters: {'learning_rate': 0.4087977360157333, 'max_depth': 3, 'min_child_weight': 8, 'gamma': 1.2198297769859221e-08, 'lambda': 0.001500479816146142, 'alpha': 3.583558532842699e-08}. Best is trial 11 with value: -0.652322.
[I 2024-02-02 02:34:02,275] Trial 13 finished with value: -0.650865 and parameters: {'learning_rate': 0.6415410355826355, 'max_depth': 3, 'min_child_weight': 6, 'gamma': 1.1776154796602083e-08, 'lambda': 0.005772115212731305, 'alpha': 1.0347383742061303e-08}. Best is trial 11 with value: -0.652322.
[I 2024-02-02 03:09:44,125] Trial 14 finished with value: -0.658666 and parameters: {'learning_rate': 0.7685604835342932, 'max_depth': 5, 'min_child_weight': 5, 'gamma': 1.0931679053920403e-05, 'lambda': 0.012278672992686788, 'alpha': 1.2121260164289233e-08}. Best is trial 14 with value: -0.658666.
[I 2024-02-02 03:49:32,958] Trial 15 finished with value: -0.604212 and parameters: {'learning_rate': 0.016752783543600352, 'max_depth': 6, 'min_child_weight': 4, 'gamma': 2.705932562590976e-05, 'lambda': 0.6415760470827238, 'alpha': 1.917268615757299e-07}. Best is trial 14 with value: -0.658666.
[I 2024-02-02 04:28:16,600] Trial 16 finished with value: -0.65999 and parameters: {'learning_rate': 0.8475318786917647, 'max_depth': 5, 'min_child_weight': 4, 'gamma': 6.76801818765318e-05, 'lambda': 0.018378195361007404, 'alpha': 2.0276205375100597e-07}. Best is trial 16 with value: -0.65999.
[I 2024-02-02 05:08:31,788] Trial 17 finished with value: -0.625172 and parameters: {'learning_rate': 0.04846515964619673, 'max_depth': 5, 'min_child_weight': 4, 'gamma': 6.1897979651058e-05, 'lambda': 0.019262408190953113, 'alpha': 2.640603173115328e-07}. Best is trial 16 with value: -0.65999.
[I 2024-02-02 05:47:17,572] Trial 18 finished with value: -0.544459 and parameters: {'learning_rate': 0.0027579556029550096, 'max_depth': 5, 'min_child_weight': 3, 'gamma': 0.00034553397954073225, 'lambda': 0.9837422216370346, 'alpha': 2.061570245997307e-06}. Best is trial 16 with value: -0.65999.
[I 2024-02-02 06:28:46,686] Trial 19 finished with value: -0.645546 and parameters: {'learning_rate': 0.08229218395075796, 'max_depth': 6, 'min_child_weight': 5, 'gamma': 1.2700387822696553e-05, 'lambda': 0.016298320549973346, 'alpha': 8.054726360796734e-08}. Best is trial 16 with value: -0.65999.
[I 2024-02-02 07:10:05,361] Trial 20 finished with value: -0.58676 and parameters: {'learning_rate': 0.005019273784384928, 'max_depth': 7, 'min_child_weight': 3, 'gamma': 0.0002354693870728372, 'lambda': 0.07349328272926858, 'alpha': 5.767797349835176e-06}. Best is trial 16 with value: -0.65999.
[I 2024-02-02 07:48:42,879] Trial 21 finished with value: -0.659824 and parameters: {'learning_rate': 0.828576432046324, 'max_depth': 5, 'min_child_weight': 5, 'gamma': 1.687570641285936e-07, 'lambda': 0.0008810601922533836, 'alpha': 1.1094874197686104e-08}. Best is trial 16 with value: -0.65999.
