[I 2024-02-01 21:05:22,377] A new study created in memory with name: no-name-d9d2ef51-5c6e-4a07-bca7-40e8eca0ea9d
[I 2024-02-01 21:10:47,259] Trial 0 finished with value: -0.373862 and parameters: {'learning_rate': 1.8148041602704907e-06, 'max_depth': 4, 'min_child_weight': 8, 'gamma': 4.433689160412476e-05, 'lambda': 0.0016957853425090263, 'alpha': 0.023518687383326953}. Best is trial 0 with value: -0.373862.
[I 2024-02-02 02:59:47,371] Trial 12 finished with value: -0.602119 and parameters: {'learning_rate': 0.015064606353848948, 'max_depth': 6, 'min_child_weight': 5, 'gamma': 0.0024391880776553935, 'lambda': 0.006041186241865074, 'alpha': 1.0850362972704563e-08}. Best is trial 11 with value: -0.661768.
[I 2024-02-02 03:44:10,859] Trial 13 finished with value: -0.628331 and parameters: {'learning_rate': 0.023875326202626116, 'max_depth': 8, 'min_child_weight': 3, 'gamma': 1.8411804490916562e-05, 'lambda': 3.3535241392975274e-05, 'alpha': 1.7073172252589768e-07}. Best is trial 11 with value: -0.661768.
[I 2024-02-02 04:10:13,867] Trial 14 finished with value: -0.656842 and parameters: {'learning_rate': 0.8909342200121478, 'max_depth': 7, 'min_child_weight': 5, 'gamma': 0.00019433997102044214, 'lambda': 0.0024452562783911906, 'alpha': 1.3177215876354603e-05}. Best is trial 11 with value: -0.661768.
[I 2024-02-02 04:48:25,362] Trial 15 finished with value: -0.543352 and parameters: {'learning_rate': 0.002803635425346381, 'max_depth': 5, 'min_child_weight': 3, 'gamma': 0.014175047911975354, 'lambda': 0.9202713223232206, 'alpha': 9.660758180968871e-08}. Best is trial 11 with value: -0.661768.
[I 2024-02-02 05:29:37,347] Trial 16 finished with value: -0.644873 and parameters: {'learning_rate': 0.07603441732197343, 'max_depth': 6, 'min_child_weight': 5, 'gamma': 7.348780095036668e-06, 'lambda': 0.029773888809549336, 'alpha': 1.0022266764609098e-08}. Best is trial 11 with value: -0.661768.
[I 2024-02-02 06:06:35,056] Trial 17 finished with value: -0.636475 and parameters: {'learning_rate': 0.11449914200850649, 'max_depth': 4, 'min_child_weight': 6, 'gamma': 0.0003942163880366355, 'lambda': 3.2379720491743786e-06, 'alpha': 4.329579536258628e-06}. Best is trial 11 with value: -0.661768.
[I 2024-02-02 06:11:04,215] Trial 18 finished with value: -0.373862 and parameters: {'learning_rate': 0.00013882720554357744, 'max_depth': 4, 'min_child_weight': 3, 'gamma': 9.894166533146201e-06, 'lambda': 0.0006072088560708185, 'alpha': 2.4267193495870076e-07}. Best is trial 11 with value: -0.661768.
[I 2024-02-02 06:50:23,111] Trial 19 finished with value: -0.574285 and parameters: {'learning_rate': 0.002202501461683113, 'max_depth': 7, 'min_child_weight': 6, 'gamma': 0.026836815971471147, 'lambda': 0.9132095859241506, 'alpha': 0.0001608944728942834}. Best is trial 11 with value: -0.661768.
[I 2024-02-02 07:31:38,712] Trial 20 finished with value: -0.667544 and parameters: {'learning_rate': 0.1590241160882226, 'max_depth': 8, 'min_child_weight': 4, 'gamma': 0.0011139148230440209, 'lambda': 0.009826617689555308, 'alpha': 8.732153473113815e-08}. Best is trial 20 with value: -0.667544.
[I 2024-02-02 07:49:31,851] Trial 21 finished with value: -0.656284 and parameters: {'learning_rate': 0.7762129509432479, 'max_depth': 8, 'min_child_weight': 4, 'gamma': 0.0006688124174467889, 'lambda': 0.011859138000575895, 'alpha': 6.082150623245168e-08}. Best is trial 20 with value: -0.667544.
