[I 2024-01-24 16:20:02,128] A new study created in memory with name: no-name-4b484dea-2212-4c92-b110-632142b446e9
[I 2024-01-24 16:21:56,087] Trial 0 finished with value: -0.710065 and parameters: {'learning_rate': 1.7243018179564654e-07, 'max_depth': 5, 'min_child_weight': 6, 'gamma': 0.08261224596594054, 'lambda': 5.799463240133897e-07, 'alpha': 1.9021123988012067e-08}. Best is trial 0 with value: -0.710065.
[I 2024-01-24 19:04:11,288] Trial 27 finished with value: -0.787907 and parameters: {'learning_rate': 0.20202168991884498, 'max_depth': 6, 'min_child_weight': 7, 'gamma': 0.22825965450093974, 'lambda': 0.00037171219290694065, 'alpha': 0.00020836623333504484}. Best is trial 25 with value: -0.789974.
[I 2024-01-24 19:13:26,425] Trial 28 finished with value: -0.756189 and parameters: {'learning_rate': 0.0017573954112452188, 'max_depth': 8, 'min_child_weight': 5, 'gamma': 0.027903991821066145, 'lambda': 0.02864451660078491, 'alpha': 0.00018812334417910162}. Best is trial 25 with value: -0.789974.
[I 2024-01-24 19:21:17,253] Trial 29 finished with value: -0.761197 and parameters: {'learning_rate': 0.020456765010898596, 'max_depth': 5, 'min_child_weight': 6, 'gamma': 0.8186575649503087, 'lambda': 0.0018851392845603931, 'alpha': 0.0036571558145856785}. Best is trial 25 with value: -0.789974.
[I 2024-01-24 19:28:48,209] Trial 30 finished with value: -0.783965 and parameters: {'learning_rate': 0.2334838919644466, 'max_depth': 4, 'min_child_weight': 6, 'gamma': 0.0820692511076807, 'lambda': 0.000208407729979148, 'alpha': 0.015581718694565334}. Best is trial 25 with value: -0.789974.
[I 2024-01-24 19:36:12,259] Trial 31 finished with value: -0.789242 and parameters: {'learning_rate': 0.291001539669035, 'max_depth': 6, 'min_child_weight': 7, 'gamma': 0.21064475698065188, 'lambda': 0.0003335609888229299, 'alpha': 0.00015479714130345657}. Best is trial 25 with value: -0.789974.
[I 2024-01-24 19:44:26,467] Trial 32 finished with value: -0.779648 and parameters: {'learning_rate': 0.05451716278583052, 'max_depth': 6, 'min_child_weight': 7, 'gamma': 0.18253159739665684, 'lambda': 0.0006323381799636582, 'alpha': 0.0001811784085694232}. Best is trial 25 with value: -0.789974.
[I 2024-01-24 19:51:59,992] Trial 33 finished with value: -0.78854 and parameters: {'learning_rate': 0.34844356453190894, 'max_depth': 6, 'min_child_weight': 7, 'gamma': 0.30268635393763055, 'lambda': 3.5222299795569774e-05, 'alpha': 0.001506438461298915}. Best is trial 25 with value: -0.789974.
[I 2024-01-24 19:57:39,442] Trial 34 finished with value: -0.786417 and parameters: {'learning_rate': 0.29575632454954776, 'max_depth': 5, 'min_child_weight': 4, 'gamma': 0.3529139345231907, 'lambda': 2.5333038758734767e-05, 'alpha': 0.001193845266376212}. Best is trial 25 with value: -0.789974.
[I 2024-01-24 20:06:28,421] Trial 35 finished with value: -0.781835 and parameters: {'learning_rate': 0.048655955886778464, 'max_depth': 7, 'min_child_weight': 7, 'gamma': 0.15420683435608937, 'lambda': 1.2620165150110175e-05, 'alpha': 0.025870832791851747}. Best is trial 25 with value: -0.789974.
[I 2024-01-24 20:10:48,938] Trial 36 finished with value: -0.780196 and parameters: {'learning_rate': 0.9874772538602241, 'max_depth': 6, 'min_child_weight': 7, 'gamma': 0.3479944013737251, 'lambda': 3.442977611246071e-06, 'alpha': 0.002561224506449403}. Best is trial 25 with value: -0.789974.
[I 2024-01-24 20:19:15,804] Trial 37 finished with value: -0.761927 and parameters: {'learning_rate': 0.015169933547262888, 'max_depth': 6, 'min_child_weight': 6, 'gamma': 0.1453115071664794, 'lambda': 2.06417140280116e-05, 'alpha': 0.00011601421217674879}. Best is trial 25 with value: -0.789974.
[I 2024-01-24 20:24:50,542] Trial 38 finished with value: -0.786684 and parameters: {'learning_rate': 0.33702040780210035, 'max_depth': 7, 'min_child_weight': 5, 'gamma': 0.9733310231196775, 'lambda': 0.00014185406341249996, 'alpha': 1.9812526588018493e-05}. Best is trial 25 with value: -0.789974.
[I 2024-01-24 20:32:42,977] Trial 39 finished with value: -0.776459 and parameters: {'learning_rate': 0.061637292278722014, 'max_depth': 5, 'min_child_weight': 4, 'gamma': 0.03056647720243636, 'lambda': 3.679013960921209e-05, 'alpha': 0.0003487359923888076}. Best is trial 25 with value: -0.789974.
[I 2024-01-24 20:33:53,432] Trial 40 finished with value: -0.720031 and parameters: {'learning_rate': 4.654294136025273e-05, 'max_depth': 6, 'min_child_weight': 6, 'gamma': 0.10277790476772447, 'lambda': 3.097141161916903e-06, 'alpha': 0.11448383230990616}. Best is trial 25 with value: -0.789974.
[I 2024-01-24 20:39:54,612] Trial 41 finished with value: -0.78721 and parameters: {'learning_rate': 0.2618347786199453, 'max_depth': 6, 'min_child_weight': 8, 'gamma': 0.021411630449724814, 'lambda': 0.00026292653814150713, 'alpha': 0.0004556149532742212}. Best is trial 25 with value: -0.789974.
[I 2024-01-24 20:48:08,294] Trial 42 finished with value: -0.784771 and parameters: {'learning_rate': 0.09546891162231307, 'max_depth': 6, 'min_child_weight': 7, 'gamma': 0.4114503743170262, 'lambda': 0.0009316280338807962, 'alpha': 0.002267748654295349}. Best is trial 25 with value: -0.789974.
[I 2024-01-24 20:56:03,522] Trial 43 finished with value: -0.789344 and parameters: {'learning_rate': 0.34734206309765686, 'max_depth': 6, 'min_child_weight': 8, 'gamma': 0.09433511606576855, 'lambda': 0.00010539526371393469, 'alpha': 0.00010828215784128039}. Best is trial 25 with value: -0.789974.
[I 2024-01-24 21:03:43,958] Trial 44 finished with value: -0.786413 and parameters: {'learning_rate': 0.384420351161662, 'max_depth': 5, 'min_child_weight': 7, 'gamma': 0.12519717028209945, 'lambda': 0.00010078314734974722, 'alpha': 0.00010666971850051208}. Best is trial 25 with value: -0.789974.
[I 2024-01-24 21:12:06,238] Trial 45 finished with value: -0.772864 and parameters: {'learning_rate': 0.0338140547174996, 'max_depth': 6, 'min_child_weight': 9, 'gamma': 0.003410227366125896, 'lambda': 1.7713624763726178e-05, 'alpha': 4.358490416756141e-05}. Best is trial 25 with value: -0.789974.
[I 2024-01-24 21:18:40,584] Trial 46 finished with value: -0.789954 and parameters: {'learning_rate': 0.36878699491357486, 'max_depth': 7, 'min_child_weight': 8, 'gamma': 0.017165746977217525, 'lambda': 4.176552466756e-05, 'alpha': 0.0012427182632308662}. Best is trial 25 with value: -0.789974.
[I 2024-01-24 21:21:10,191] Trial 47 finished with value: -0.776755 and parameters: {'learning_rate': 0.9210461912811871, 'max_depth': 8, 'min_child_weight': 9, 'gamma': 0.012723319771143073, 'lambda': 0.00035699303927816156, 'alpha': 0.0008097555079372271}. Best is trial 25 with value: -0.789974.
[I 2024-01-24 21:29:58,997] Trial 48 finished with value: -0.778306 and parameters: {'learning_rate': 0.03376749422703596, 'max_depth': 7, 'min_child_weight': 8, 'gamma': 0.08459707811058376, 'lambda': 6.745945030102582e-05, 'alpha': 0.00012990659731207057}. Best is trial 25 with value: -0.789974.
[I 2024-01-24 21:39:25,809] Trial 49 finished with value: -0.786413 and parameters: {'learning_rate': 0.07075468852190765, 'max_depth': 8, 'min_child_weight': 9, 'gamma': 0.003438178162114455, 'lambda': 0.00013542840249811865, 'alpha': 0.00034170281289463105}. Best is trial 25 with value: -0.789974.
[I 2024-01-24 21:48:13,320] Trial 50 finished with value: -0.769171 and parameters: {'learning_rate': 0.017632815377870613, 'max_depth': 7, 'min_child_weight': 10, 'gamma': 0.01547530068919753, 'lambda': 7.818005845386089e-06, 'alpha': 3.0348997906507815e-05}. Best is trial 25 with value: -0.789974.
[I 2024-01-24 21:55:35,954] Trial 51 finished with value: -0.788082 and parameters: {'learning_rate': 0.4647533573264675, 'max_depth': 6, 'min_child_weight': 7, 'gamma': 0.2930113856912008, 'lambda': 4.581380269097137e-05, 'alpha': 0.0014349591641400058}. Best is trial 25 with value: -0.789974.
[I 2024-01-24 22:00:38,506] Trial 52 finished with value: -0.786917 and parameters: {'learning_rate': 0.4472814504935501, 'max_depth': 7, 'min_child_weight': 8, 'gamma': 0.049072367597775945, 'lambda': 1.8219016545058353e-05, 'alpha': 0.0008297787013387327}. Best is trial 25 with value: -0.789974.
[I 2024-01-24 22:08:23,450] Trial 53 finished with value: -0.787129 and parameters: {'learning_rate': 0.1911575169973009, 'max_depth': 5, 'min_child_weight': 8, 'gamma': 0.5321621642799872, 'lambda': 3.4225958692461665e-05, 'alpha': 6.975644888067041e-05}. Best is trial 25 with value: -0.789974.
[I 2024-01-24 22:13:27,266] Trial 54 finished with value: -0.786639 and parameters: {'learning_rate': 0.4470240533466193, 'max_depth': 6, 'min_child_weight': 7, 'gamma': 0.12357917658032298, 'lambda': 0.00020429821238198909, 'alpha': 0.00023773580389649192}. Best is trial 25 with value: -0.789974.
[I 2024-01-24 22:21:37,798] Trial 55 finished with value: -0.785551 and parameters: {'learning_rate': 0.10309132263378022, 'max_depth': 6, 'min_child_weight': 9, 'gamma': 0.02129225430508355, 'lambda': 0.00048028410537579683, 'alpha': 0.0014120351484139006}. Best is trial 25 with value: -0.789974.
[I 2024-01-24 22:26:45,747] Trial 56 finished with value: -0.780062 and parameters: {'learning_rate': 0.9182404707350065, 'max_depth': 3, 'min_child_weight': 6, 'gamma': 0.04314032947557912, 'lambda': 0.00010506415023592095, 'alpha': 0.00044372314353297547}. Best is trial 25 with value: -0.789974.
[I 2024-01-24 22:35:13,253] Trial 57 finished with value: -0.788893 and parameters: {'learning_rate': 0.11749137479502461, 'max_depth': 7, 'min_child_weight': 8, 'gamma': 0.23031156137584416, 'lambda': 5.669910410892992e-05, 'alpha': 9.084885989348097e-05}. Best is trial 25 with value: -0.789974.
[I 2024-01-24 22:43:45,859] Trial 58 finished with value: -0.790282 and parameters: {'learning_rate': 0.14271554301841696, 'max_depth': 7, 'min_child_weight': 8, 'gamma': 0.539874064677145, 'lambda': 0.0008937889058238637, 'alpha': 1.542986992251972e-05}. Best is trial 58 with value: -0.790282.
[I 2024-01-24 22:52:10,586] Trial 59 finished with value: -0.789166 and parameters: {'learning_rate': 0.17238250944335404, 'max_depth': 7, 'min_child_weight': 9, 'gamma': 0.5364515435088798, 'lambda': 0.0008880397277885401, 'alpha': 1.2212030892192578e-05}. Best is trial 58 with value: -0.790282.
[I 2024-01-24 23:00:47,383] Trial 60 finished with value: -0.782948 and parameters: {'learning_rate': 0.06113331904884974, 'max_depth': 7, 'min_child_weight': 8, 'gamma': 0.5557031819817683, 'lambda': 0.0011563301757711987, 'alpha': 1.1329346290928281e-05}. Best is trial 58 with value: -0.790282.
[I 2024-01-24 23:09:06,582] Trial 61 finished with value: -0.789505 and parameters: {'learning_rate': 0.1651933675763333, 'max_depth': 7, 'min_child_weight': 9, 'gamma': 0.5554220051953503, 'lambda': 0.0006405752602425598, 'alpha': 2.1421850495086464e-05}. Best is trial 58 with value: -0.790282.
[I 2024-01-24 23:17:21,586] Trial 62 finished with value: -0.790564 and parameters: {'learning_rate': 0.17434186485242537, 'max_depth': 7, 'min_child_weight': 10, 'gamma': 0.5640925689048198, 'lambda': 0.0005799779478570825, 'alpha': 2.552460811641417e-05}. Best is trial 62 with value: -0.790564.
[I 2024-01-24 23:23:23,790] Trial 63 finished with value: -0.785247 and parameters: {'learning_rate': 0.6149159225284552, 'max_depth': 8, 'min_child_weight': 10, 'gamma': 0.19672320548115446, 'lambda': 0.00030845330787137107, 'alpha': 4.166128043446498e-05}. Best is trial 62 with value: -0.790564.
[I 2024-01-24 23:32:14,719] Trial 64 finished with value: -0.774442 and parameters: {'learning_rate': 0.02714091008811397, 'max_depth': 7, 'min_child_weight': 10, 'gamma': 0.5819041288934306, 'lambda': 0.0015560907880570836, 'alpha': 2.9210624553879527e-06}. Best is trial 62 with value: -0.790564.
[I 2024-01-24 23:41:23,660] Trial 65 finished with value: -0.78957 and parameters: {'learning_rate': 0.08600781179271418, 'max_depth': 8, 'min_child_weight': 10, 'gamma': 0.10444148032014769, 'lambda': 0.000530612936340473, 'alpha': 2.5981594686149744e-05}. Best is trial 62 with value: -0.790564.
[I 2024-01-24 23:50:38,830] Trial 66 finished with value: -0.789167 and parameters: {'learning_rate': 0.0814410167700933, 'max_depth': 8, 'min_child_weight': 10, 'gamma': 0.09624523711595227, 'lambda': 0.00063375179883008, 'alpha': 2.0654993593178222e-05}. Best is trial 62 with value: -0.790564.
[I 2024-01-25 00:00:08,190] Trial 67 finished with value: -0.782162 and parameters: {'learning_rate': 0.03901268888644693, 'max_depth': 8, 'min_child_weight': 10, 'gamma': 0.9945910783528884, 'lambda': 0.004298330357899067, 'alpha': 5.17622105081964e-06}. Best is trial 62 with value: -0.790564.
[I 2024-01-25 00:04:01,735] Trial 68 finished with value: -0.753452 and parameters: {'learning_rate': 0.007833723788727695, 'max_depth': 7, 'min_child_weight': 9, 'gamma': 0.07878827703904745, 'lambda': 0.00016751818627391905, 'alpha': 1.088183802312125e-05}. Best is trial 62 with value: -0.790564.
[I 2024-01-25 00:13:00,326] Trial 69 finished with value: -0.791174 and parameters: {'learning_rate': 0.12726616968174304, 'max_depth': 8, 'min_child_weight': 9, 'gamma': 0.4272882859922672, 'lambda': 0.0005584413543682755, 'alpha': 2.9603966770089172e-05}. Best is trial 69 with value: -0.791174.
[I 2024-01-25 00:21:49,802] Trial 70 finished with value: -0.794064 and parameters: {'learning_rate': 0.161448223694853, 'max_depth': 8, 'min_child_weight': 10, 'gamma': 0.4316999452677402, 'lambda': 0.0015706111398965069, 'alpha': 3.2783259300866675e-05}. Best is trial 70 with value: -0.794064.
[I 2024-01-25 00:30:40,950] Trial 71 finished with value: -0.791977 and parameters: {'learning_rate': 0.15449757090172947, 'max_depth': 8, 'min_child_weight': 10, 'gamma': 0.445272811612618, 'lambda': 0.0015145568747459428, 'alpha': 2.559720659450795e-05}. Best is trial 70 with value: -0.794064.
[I 2024-01-25 00:39:52,938] Trial 72 finished with value: -0.789368 and parameters: {'learning_rate': 0.08718023315646828, 'max_depth': 8, 'min_child_weight': 10, 'gamma': 0.31805947415135327, 'lambda': 0.0013668881482457964, 'alpha': 5.202584369664705e-05}. Best is trial 70 with value: -0.794064.
[I 2024-01-25 00:48:46,228] Trial 73 finished with value: -0.790574 and parameters: {'learning_rate': 0.15564682243169178, 'max_depth': 8, 'min_child_weight': 10, 'gamma': 0.19326480601223084, 'lambda': 0.002486662462911585, 'alpha': 2.7859491741408246e-05}. Best is trial 70 with value: -0.794064.
[I 2024-01-25 00:57:38,927] Trial 74 finished with value: -0.791968 and parameters: {'learning_rate': 0.1482346903560852, 'max_depth': 8, 'min_child_weight': 10, 'gamma': 0.1822783068797358, 'lambda': 0.0029207055759640486, 'alpha': 5.380436862238528e-05}. Best is trial 70 with value: -0.794064.
[I 2024-01-25 01:06:32,936] Trial 75 finished with value: -0.791063 and parameters: {'learning_rate': 0.17939727604098912, 'max_depth': 8, 'min_child_weight': 10, 'gamma': 0.1873627011510987, 'lambda': 0.0035058198291425427, 'alpha': 9.313962176562832e-06}. Best is trial 70 with value: -0.794064.
[I 2024-01-25 01:15:15,842] Trial 76 finished with value: -0.791207 and parameters: {'learning_rate': 0.1552534703549534, 'max_depth': 8, 'min_child_weight': 10, 'gamma': 0.9937478850338459, 'lambda': 0.003275097129550439, 'alpha': 8.156762930659377e-06}. Best is trial 70 with value: -0.794064.
[I 2024-01-25 01:24:40,482] Trial 77 finished with value: -0.783419 and parameters: {'learning_rate': 0.04611010702171949, 'max_depth': 8, 'min_child_weight': 10, 'gamma': 0.8869661259307204, 'lambda': 0.0070401937201716724, 'alpha': 8.732663820336106e-06}. Best is trial 70 with value: -0.794064.
[I 2024-01-25 01:34:03,839] Trial 78 finished with value: -0.777307 and parameters: {'learning_rate': 0.025133198657056776, 'max_depth': 8, 'min_child_weight': 10, 'gamma': 0.3853571434003069, 'lambda': 0.0029648250438467673, 'alpha': 3.1387021725534623e-06}. Best is trial 70 with value: -0.794064.
[I 2024-01-25 01:38:54,672] Trial 79 finished with value: -0.78483 and parameters: {'learning_rate': 0.5377456998326584, 'max_depth': 8, 'min_child_weight': 10, 'gamma': 0.1534938122630559, 'lambda': 0.002298792122307166, 'alpha': 8.160556179904486e-06}. Best is trial 70 with value: -0.794064.
[I 2024-01-25 01:48:06,361] Trial 80 finished with value: -0.784875 and parameters: {'learning_rate': 0.05463866790154915, 'max_depth': 8, 'min_child_weight': 10, 'gamma': 0.233935441724053, 'lambda': 0.011495748845696867, 'alpha': 3.295441814725571e-05}. Best is trial 70 with value: -0.794064.
[I 2024-01-25 01:57:03,241] Trial 81 finished with value: -0.790788 and parameters: {'learning_rate': 0.14696366482547396, 'max_depth': 8, 'min_child_weight': 10, 'gamma': 0.6642692626845449, 'lambda': 0.0018941491351655575, 'alpha': 2.136845210277477e-05}. Best is trial 70 with value: -0.794064.
[I 2024-01-25 02:04:44,031] Trial 82 finished with value: -0.790667 and parameters: {'learning_rate': 0.21838184381163456, 'max_depth': 8, 'min_child_weight': 10, 'gamma': 0.6547957836728773, 'lambda': 0.004242125419376171, 'alpha': 6.549510378056775e-05}. Best is trial 70 with value: -0.794064.
[I 2024-01-25 02:13:11,068] Trial 83 finished with value: -0.791031 and parameters: {'learning_rate': 0.2599242885020601, 'max_depth': 8, 'min_child_weight': 10, 'gamma': 0.3351858940421055, 'lambda': 0.003480152884110045, 'alpha': 7.355386994336538e-05}. Best is trial 70 with value: -0.794064.
[I 2024-01-25 02:20:34,236] Trial 84 finished with value: -0.791463 and parameters: {'learning_rate': 0.23552524438673011, 'max_depth': 8, 'min_child_weight': 10, 'gamma': 0.9149310120739138, 'lambda': 0.0041905775684314755, 'alpha': 5.0020033562827273e-05}. Best is trial 70 with value: -0.794064.
[I 2024-01-25 02:23:52,977] Trial 85 finished with value: -0.778908 and parameters: {'learning_rate': 0.7148243151610378, 'max_depth': 8, 'min_child_weight': 9, 'gamma': 0.39197807075679725, 'lambda': 0.0015050551830650054, 'alpha': 4.776167174020704e-05}. Best is trial 70 with value: -0.794064.
[I 2024-01-25 02:32:25,878] Trial 86 finished with value: -0.791709 and parameters: {'learning_rate': 0.26693295018508406, 'max_depth': 8, 'min_child_weight': 10, 'gamma': 0.2998342950349561, 'lambda': 0.014628663143065839, 'alpha': 6.639129104136152e-06}. Best is trial 70 with value: -0.794064.
[I 2024-01-25 02:37:51,556] Trial 87 finished with value: -0.783127 and parameters: {'learning_rate': 0.5903473550650125, 'max_depth': 8, 'min_child_weight': 9, 'gamma': 0.3077389709627071, 'lambda': 0.015063246303464124, 'alpha': 5.742697433673932e-06}. Best is trial 70 with value: -0.794064.
[I 2024-01-25 02:44:43,569] Trial 88 finished with value: -0.790772 and parameters: {'learning_rate': 0.24713154798336726, 'max_depth': 8, 'min_child_weight': 10, 'gamma': 0.9833506927968402, 'lambda': 0.02556238818013461, 'alpha': 1.5048238647507722e-06}. Best is trial 70 with value: -0.794064.
[I 2024-01-25 02:53:53,428] Trial 89 finished with value: -0.7712 and parameters: {'learning_rate': 0.012126954806506808, 'max_depth': 8, 'min_child_weight': 2, 'gamma': 0.05427674943494173, 'lambda': 0.0056581734700672445, 'alpha': 8.317623480520613e-05}. Best is trial 70 with value: -0.794064.
[I 2024-01-25 02:58:32,159] Trial 90 finished with value: -0.789272 and parameters: {'learning_rate': 0.24997348242398804, 'max_depth': 8, 'min_child_weight': 10, 'gamma': 0.13764804186724608, 'lambda': 0.009267223607165545, 'alpha': 1.735928559452489e-05}. Best is trial 70 with value: -0.794064.
